year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2019,November 15th,Universo PinzÃ¡s,Documentary,286.00,n/a,286.00
2019,November 15th,SÃ¶z Vermistin,Drama,26017.00,n/a,26017.00
2019,November 15th,Thunderdome Never Dies,Documentary,123255.00,n/a,123255.00
2019,November 15th,To Kid or Not to Kid,Documentary,,n/a,
2019,June 19th,StarDog and TurboCat,Adventure,824429.00,80496.00,904925.00
2019,November 15th,Si yo fuera rico,Comedy,14240702.00,n/a,14240702.00
2019,November 19th,Lionel Richie at Glastonbury,Concert/Performance,,n/a,
2019,November 15th,Sanga Thamizhan,Musical,21092.00,n/a,21092.00
2019,November 15th,The Shed,Horror,16602.00,n/a,16602.00
2019,November 15th,Scandalous: The Untold Story of the National Enquirer,Documentary,,18759.00,
2019,November 15th,Queen Lear,Documentary,5303.00,n/a,5303.00
2019,November 15th,Radioflash,Thriller/Suspense,,n/a,
2019,November 15th,Renacidos: El Padre PÃ­o cambiÃ³ sus vidas,Documentary,101883.00,n/a,101883.00
2019,November 15th,Proceder,Musical,3568635.00,n/a,3568635.00
2019,November 15th,El plan divino,Drama,8931.00,n/a,8931.00
2019,November 15th,Palace for the People,Documentary,1212.00,n/a,1212.00
2019,November 15th,Recorder: The Marion Stokes Project,Documentary,,55632.00,
2019,November 15th,Placa de Acero,Action,1118441.00,n/a,1118441.00
2019,November 15th,Noura's Dream,Drama,80675.00,n/a,80675.00
2019,November 15th,Na Yi Ye Wo Gei Ni Kai Guo Che,Drama,158737.00,n/a,158737.00
2019,November 15th,Opera de Paris: La Traviata,Concert/Performance,7388.00,n/a,7388.00
2019,November 15th,Motichoor Chaknachoor,Romantic Comedy,22145.00,n/a,22145.00
2019,November 15th,Maizi de gaitou,Drama,462886.00,n/a,462886.00
2019,November 15th,Marjaavaan,Action,186662.00,n/a,186662.00
2019,November 15th,Mickey and the Bear,Drama,,57716.00,
2019,December 6th,Little Joe,Drama,191504.00,23862.00,215366.00
2019,November 15th,Madre,Documentary,861342.00,n/a,861342.00
2019,November 15th,Jhalle,Comedy,73068.00,n/a,73068.00
2019,November 15th,"Idrissa, crÃ³nica de una muerte cualquiera",Documentary,1962.00,n/a,1962.00
2019,November 15th,The Hottest August,Documentary,,n/a,
2019,November 15th,Line of Duty,Action,640363.00,n/a,640363.00
2019,November 15th,Feast of the Seven Fishes,Comedy,,n/a,
2019,November 15th,DoÃ±a Francisquita,Concert/Performance,102412.00,n/a,102412.00
2019,November 15th,Gece Gelenler,Horror,8247.00,n/a,8247.00
2019,November 15th,Da Yue Zai Dong Ji,Drama,32227811.00,n/a,32227811.00
2019,November 15th,Come se non ci fosse un domani,Comedy,32969.00,n/a,32969.00
2019,November 15th,Chang An Dao,Thriller/Suspense,2940000.00,n/a,2940000.00
2019,November 15th,Bolshoi Ballet: Le Corsaire,Concert/Performance,115446.00,n/a,115446.00
2019,November 15th,Hollywould,Thriller/Suspense,,11888.00,
2019,November 15th,Arara,Drama,,n/a,
2019,November 15th,Alpha: The Right to Kill,Thriller/Suspense,2631.00,n/a,2631.00
2019,November 15th,Autonomy,Documentary,,n/a,
2019,November 15th,Los adoptantes,Comedy,3026.00,n/a,3026.00
2019,November 15th,Bluebird,Documentary,,n/a,
2019,November 14th,Yooheuiege,Drama,819412.00,n/a,819412.00
