sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
7000;2015;August 12th;Floride;Drama;2920081;n/a;2920081
7001;2015;August 12th;The Lost Key;Documentary;;n/a;
7002;2015;August 12th;How to Smell a Rose: A Visit with Ricky Leacock at his Farm in Normandy;Documentary;;n/a;
7003;2015;August 14th;The Man From U.N.C.L.E.;Action;63072626;45445109;108517735
7004;2015;May 12th;Absolutely Anything;Comedy;7167019;n/a;7167019
7005;2015;August 11th;Alleluia! The Devil's Carnival;Musical;;n/a;
7006;2015;August 7th;War Book;Drama;1400;n/a;1400
7007;2015;October 16th;The Diabolical;Horror;23116;n/a;23116
7008;2015;August 7th;Sneakerheadz;Documentary;;1903;
7009;2015;August 7th;Ricki and the Flash;Drama;14326535;26839498;41166033
7010;2015;August 7th;The Runner;Drama;20106;n/a;20106
7011;2015;August 7th;Reshala 2;;145337;n/a;145337
7012;2016;June 10th;Les Amigues de l'Ãƒâ‚¬gata;Drama;15803;n/a;15803
7013;2015;August 7th;The Rape of Lucretia;Concert/Performance;52903;n/a;52903
7014;2016;June 9th;Okhwan na ceste za slobodou;Documentary;92644;n/a;92644
7015;2015;August 7th;Real Beleza;Drama;18553;n/a;18553
7016;2015;August 7th;Saving Goola;Adventure;125267;n/a;125267
7017;2016;June 9th;Les Ogres;Drama;35623;n/a;35623
7018;2016;June 9th;Neko Nanka Yondemo Konai;Comedy;17168;n/a;17168
7019;2016;June 24th;The Neon Demon;Horror;2226679;1333124;3559803
